Formation;Nom anonymisé;Prénom anonymisé;Numéro;Genre;Date de naissance;Profil;Type établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Série;LV 1;LV 2
DUT INFO;XXX9113;Yyy415;458949;M;03/06/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;S;Anglais;Espagnol
DUT RT;XXX6223;Yyy387;458949;M;03/06/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;S;Anglais;Espagnol
DUT GIM;XXX8055;Yyy624;458951;M;31/10/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;STI2D;Anglais;Espagnol
DUT GIM;XXX3224;Yyy295;458967;M;08/12/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;S;Anglais;Espagnol
DUT CS;XXX3337;Yyy495;459748;F;15/03/2002;En Terminale;Lycée français;Lycée Felix Le Dantec;Lannion;22;France;STMG;Anglais;Espagnol
DUT INFO;XXX4336;Yyy501;460143;M;22/12/2002;En Terminale;Lycée français;Lycée Felix Le Dantec;Lannion;22;France;STI2D;Anglais;Espagnol
DUT CS;XXX8342;Yyy122;461523;F;25/09/2002;En Terminale;Lycée français;Lycée Jules Supervielle;Oloron-Sainte-Marie;64;France;L;Anglais;Espagnol
DUT INFO;XXX8072;Yyy639;461548;F;25/01/2002;En Terminale;Lycée français;Lycée Jules Supervielle;Oloron-Sainte-Marie;64;France;S;Anglais;Espagnol
DUT INFO;XXX9470;Yyy278;461552;M;17/10/2002;En Terminale;Lycée français;Lycée Jules Supervielle;Oloron-Sainte-Marie;64;France;S;Anglais;Espagnol
DUT CS;XXX7194;Yyy655;461593;F;20/05/2002;En Terminale;Lycée français;Lycée Jules Supervielle;Oloron-Sainte-Marie;64;France;ES;Espagnol;Anglais
DUT GIM;XXX6066;Yyy194;462117;M;28/11/2001;En Terminale;Lycée français;Lycée Français Paul Valéry;Cali;99;Colombie;S;Espagnol;Anglais
DUT GIM;XXX7752;Yyy114;462127;F;12/09/2002;En Terminale;Lycée français;Lycée Français Paul Valéry;Cali;99;Colombie;S;Espagnol;Anglais
DUT GIM;XXX8775;Yyy575;462129;M;12/08/2002;En Terminale;Lycée français;Lycée Français Paul Valéry;Cali;99;Colombie;S;Espagnol;Anglais
DUT RT;XXX1162;Yyy800;462129;M;12/08/2002;En Terminale;Lycée français;Lycée Français Paul Valéry;Cali;99;Colombie;S;Espagnol;Anglais
DUT CS;XXX3734;Yyy373;463897;F;07/04/2002;En Terminale;Lycée français;Lycée du Forez;Feurs;42;France;ST2S;Anglais;Italien
DUT GIM;XXX9573;Yyy698;464797;M;19/03/2002;En Terminale;Lycée français;Lycée Marc Bloch;Bischheim;67;France;S;Anglais;Allemand
DUT RT;XXX8698;Yyy433;468424;M;22/03/2002;En Terminale;Lycée français;Lycée F. Et I. Joliot Curie;Romilly-sur-Seine;10;France;STI2D;Anglais;Espagnol
DUT INFO;XXX8912;Yyy460;468667;M;22/06/2002;En Terminale;Lycée français;Lycée Jean Vigo;Millau;12;France;S;Anglais;Espagnol
DUT INFO;XXX3522;Yyy967;468712;M;18/03/2001;En Terminale;Lycée français;Lycée Jean Vigo;Millau;12;France;L;Anglais;Espagnol
DUT INFO;XXX7819;Yyy442;469389;M;21/11/2002;En Terminale;Lycée français;Lycée Rene Char;Avignon;84;France;S;Anglais;Espagnol
DUT GIM;XXX1525;Yyy535;470174;F;01/09/2002;En Terminale;Lycée français;Lycée Louis Bascan;Rambouillet;78;France;S;Anglais;Espagnol
DUT INFO;XXX2603;Yyy344;470269;M;20/04/2002;En Terminale;Lycée français;Lycée Louis Bascan;Rambouillet;78;France;STI2D;Anglais;Italien
DUT INFO;XXX9185;Yyy515;470407;M;10/01/2002;En Terminale;Lycée français;Lycée Louis Bascan;Rambouillet;78;France;S;Anglais;Espagnol
DUT INFO;XXX7442;Yyy535;470505;M;03/03/1999;En Terminale;Lycée français;Lycée Louis Bascan;Rambouillet;78;France;S;Anglais;Allemand
DUT RT;XXX4176;Yyy161;471365;M;01/07/2002;En Terminale;Lycée français;Lycée Apollinaire Anova (Dec);Paita;988;France;S;Anglais;Espagnol
DUT GIM;XXX7399;Yyy296;472642;M;06/11/2002;En Terminale;Lycée français;Lycée Jeanne D'Arc;Mazamet;81;France;S;Anglais;Allemand
DUT INFO;XXX6557;Yyy684;474078;M;01/11/2002;En Terminale;Lycée français;Lycée Edmond Perrier;Tulle;19;France;S;Anglais;Allemand
DUT GIM;XXX3109;Yyy107;474182;M;01/01/2002;En Terminale;Lycée français;Lycée Edmond Perrier;Tulle;19;France;S;Anglais;Espagnol
DUT CS;XXX6456;Yyy965;474247;F;28/03/2002;En Terminale;Lycée français;Lycée Edmond Perrier;Tulle;19;France;S;Anglais;Espagnol
DUT INFO;XXX6642;Yyy735;474872;M;18/06/2002;En Terminale;Lycée français;Lycée Jean ZAY;Orléans;45;France;S;Anglais;Espagnol
DUT INFO;XXX7984;Yyy969;478476;M;06/08/2001;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT RT;XXX5089;Yyy737;478476;M;06/08/2001;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT RT;XXX9590;Yyy683;478508;M;06/08/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT CS;XXX6844;Yyy248;478529;F;22/09/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;STMG;Anglais;Espagnol
DUT CS;XXX7477;Yyy237;478538;F;04/04/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;STMG;Espagnol;Anglais
DUT INFO;XXX6273;Yyy561;478567;M;06/03/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;ES;Anglais;Espagnol
DUT CS;XXX6315;Yyy876;478574;F;11/01/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;STMG;Anglais;Allemand
DUT INFO;XXX3069;Yyy337;478579;M;06/03/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT INFO;XXX7691;Yyy512;478596;M;17/07/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT RT;XXX3193;Yyy960;478596;M;17/07/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT CS;XXX3572;Yyy592;478602;F;20/02/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;ES;Espagnol;Anglais
DUT CS;XXX4963;Yyy854;478621;F;14/09/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;STMG;Anglais;Espagnol
DUT GIM;XXX6899;Yyy840;478625;F;09/12/2001;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT INFO;XXX4509;Yyy241;478625;F;09/12/2001;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT RT;XXX3321;Yyy138;478625;F;09/12/2001;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;S;Anglais;Espagnol
DUT CS;XXX3339;Yyy214;478627;F;02/03/2002;En Terminale;Lycée français;Lycée Pardailhan;Auch;32;France;L;Espagnol;Anglais
DUT CS;XXX7562;Yyy833;481821;F;06/08/2002;En Terminale;Lycée français;Lycée Bellevue;Saintes;17;France;L;Anglais;Allemand
DUT INFO;XXX3454;Yyy909;483096;M;30/01/2003;En Terminale;Lycée français;Lycée Albert Calmette;Nice;6;France;S;Anglais;Italien
DUT RT;XXX6324;Yyy704;483096;M;30/01/2003;En Terminale;Lycée français;Lycée Albert Calmette;Nice;6;France;S;Anglais;Italien
DUT GIM;XXX2388;Yyy387;483462;M;07/11/2002;En Terminale;Lycée français;Lycée Largente;Bayonne;64;France;S;Anglais;Espagnol
DUT CS;XXX3801;Yyy680;483502;F;21/05/2002;En Terminale;Lycée français;Lycée Largente;Bayonne;64;France;ES;Anglais;Espagnol
DUT GIM;XXX7021;Yyy284;483505;M;27/12/2001;En Terminale;Lycée français;Lycée Largente;Bayonne;64;France;S;Anglais;Espagnol
DUT INFO;XXX5743;Yyy899;483521;M;29/07/2002;En Terminale;Lycée français;Lycée Largente;Bayonne;64;France;S;Anglais;Espagnol
DUT INFO;XXX1722;Yyy306;483573;M;24/01/2002;En Terminale;Lycée français;Lycée Largente;Bayonne;64;France;S;Anglais;Espagnol
DUT GIM;XXX3568;Yyy947;483867;F;10/09/2002;En Terminale;Lycée français;Lycée Ismael Dauphin;Cavaillon;84;France;S;Anglais;Espagnol
DUT CS;XXX3718;Yyy748;483907;F;08/01/2002;En Terminale;Lycée français;Lycée Victor Hugo;Gaillac;81;France;ES;Anglais;Espagnol
DUT GIM;XXX6083;Yyy288;484813;M;20/07/2002;En Terminale;Lycée français;Lycée Anatole De Monzie;Bazas;33;France;S;Anglais;Espagnol
DUT INFO;XXX9769;Yyy192;484824;M;27/02/2002;En Terminale;Lycée français;Lycée Anatole De Monzie;Bazas;33;France;S;Anglais;Espagnol
DUT CS;XXX5541;Yyy218;484970;F;19/10/2001;En Terminale;Lycée français;Lycée Anatole De Monzie;Bazas;33;France;ES;Anglais;Espagnol
DUT GIM;XXX7003;Yyy964;485412;M;25/03/2002;En Terminale;Lycée français;Lycée La Martinière-Diderot;Lyon 1er Arrondissement;69;France;S;Anglais;Espagnol
DUT INFO;XXX4007;Yyy713;485781;M;25/03/2002;En Terminale;Lycée français;Lycée Edouard Delamare Deboutteville;Forges-les-Eaux;76;France;STI2D;Anglais;Espagnol
DUT INFO;XXX5580;Yyy869;486265;M;16/01/2002;En Terminale;Lycée français;Lycée De La Salle;Alès;30;France;STI2D;Anglais;Espagnol
DUT CS;XXX8394;Yyy775;486916;F;11/09/2002;En Terminale;Lycée français;Lycée Charles BAUDELAIRE;Fosses;95;France;STMG;Anglais;Espagnol
DUT INFO;XXX2847;Yyy388;487800;M;03/03/2002;En Terminale;Lycée français;Institution Saint Pierre;Courpière;63;France;S;Anglais;Allemand
DUT GIM;XXX1525;Yyy682;488025;M;25/05/2002;En Terminale;Lycée français;Lycée René Cassin;Tarare;69;France;P;Anglais;
